verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
LUK.1.1	1	1	Forasmuch as many have taken in hand to set forth in order a declaration of those things which are most surely believed among us,	0.5	positive	Muitos já se dedicaram a elaborar um relato dos fatos que se cumpriram entre nós,
LUK.1.2	1	2	Even as they delivered them unto us, which from the beginning were eyewitnesses, and ministers of the word;	0.0	neutral	conforme nos foram transmitidos por aqueles que desde o início foram testemunhas oculares e servos da palavra.
LUK.1.3	1	3	It seemed good to me also, having had perfect understanding of all things from the very first, to write unto thee in order, most excellent Theophilus,	0.705	positive	Eu mesmo investiguei tudo cuidadosamente, desde o começo, e decidi escrever-te um relato ordenado, ó excelentíssimo Teófilo,
LUK.1.4	1	4	That thou mightest know the certainty of those things, wherein thou hast been instructed.	0.0	neutral	para que tenhas a certeza das coisas que te foram ensinadas.
LUK.1.5	1	5	There was in the days of Herod, the king of Judaea, a certain priest named Zacharias, of the course of Abia: and his wife {was} of the daughters of Aaron, and her name {was} Elisabeth.	0.2143	positive	No tempo de Herodes, rei da Judéia, havia um sacerdote chamado Zacarias, que pertencia ao grupo sacerdotal de Abias; Isabel, sua mulher, também era descendente de Arão.
LUK.1.6	1	6	And they were both righteous before God, walking in all the commandments and ordinances of the Lord blameless.	0.0	neutral	Ambos eram justos aos olhos de Deus, obedecendo de modo irrepreensível a todos os mandamentos e preceitos do Senhor.
LUK.1.7	1	7	And they had no child, because that Elisabeth was barren, and they both were {now} well stricken in years.	0.0	neutral	Mas eles não tinham filhos, porque Isabel era estéril; e ambos eram de idade avançada.
LUK.1.8	1	8	And it came to pass, that while he executed the priest's office before God in the order of his course,	0.0	neutral	Certa vez, estando de serviço o seu grupo, Zacarias estava servindo como sacerdote diante de Deus.
LUK.1.9	1	9	According to the custom of the priest's office, his lot was to burn incense when he went into the temple of the Lord.	0.0	neutral	Ele foi escolhido por sorteio, de acordo com o costume do sacerdócio, para entrar no santuário do Senhor e oferecer incenso.
LUK.1.10	1	10	And the whole multitude of the people were praying without at the time of incense.	0.2	positive	Chegando a hora de oferecer incenso, o povo todo estava orando do lado de fora.
LUK.1.11	1	11	And there appeared unto him an angel of the Lord standing on the right side of the altar of incense.	0.2857	positive	Então um anjo do Senhor apareceu a Zacarias, à direita do altar do incenso.
LUK.1.12	1	12	And when Zacharias saw {him}, he was troubled, and fear fell upon him.	-0.5	negative	Quando Zacarias o viu, perturbou-se e foi dominado pelo medo.
LUK.1.13	1	13	But the angel said unto him, Fear not, Zacharias: for thy prayer is heard; and thy wife Elisabeth shall bear thee a son, and thou shalt call his name John.	0.0	neutral	"Mas o anjo lhe disse: ""Não tenha medo, Zacarias; sua oração foi ouvida. Isabel, sua mulher, lhe dará um filho, e você lhe dará o nome de João."
LUK.1.14	1	14	And thou shalt have joy and gladness; and many shall rejoice at his birth.	0.65	positive	Ele será motivo de prazer e de alegria para você, e muitos se alegrarão por causa do nascimento dele,
LUK.1.15	1	15	For he shall be great in the sight of the Lord, and shall drink neither wine nor strong drink; and he shall be filled with the Holy Ghost, even from his mother's womb.	0.5444	positive	pois será grande aos olhos do Senhor. Ele nunca tomará vinho nem bebida fermentada, e será cheio do Espírito Santo desde antes do seu nascimento.
LUK.1.16	1	16	And many of the children of Israel shall he turn to the Lord their God.	0.5	positive	Fará retornar muitos dentre o povo de Israel ao Senhor, o seu Deus.
LUK.1.17	1	17	And he shall go before him in the spirit and power of Elias, to turn the hearts of the fathers to the children, and the disobedient to the wisdom of the just; to make ready a people prepared for the Lord. {to the wisdom: or, by the wisdom}	0.2	positive	"E irá adiante do Senhor, no espírito e no poder de Elias, para fazer voltar o coração dos pais a seus filhos e os desobedientes à sabedoria dos justos, para deixar um povo preparado para o Senhor""."
LUK.1.18	1	18	And Zacharias said unto the angel, Whereby shall I know this? for I am an old man, and my wife well stricken in years.	0.1	neutral	"Zacarias perguntou ao anjo: ""Como posso ter certeza disso? Sou velho, e minha mulher é de idade avançada""."
LUK.1.19	1	19	And the angel answering said unto him, I am Gabriel, that stand in the presence of God; and am sent to speak unto thee, and to shew thee these glad tidings.	0.5	positive	"O anjo respondeu: ""Sou Gabriel, o que está sempre na presença de Deus. Fui enviado para lhe transmitir estas boas novas."
LUK.1.20	1	20	And, behold, thou shalt be dumb, and not able to speak, until the day that these things shall be performed, because thou believest not my words, which shall be fulfilled in their season.	-0.3125	negative	"Agora você ficará mudo. Não poderá falar até o dia em que isso acontecer, porque não acreditou em minhas palavras, que se cumprirão no tempo oportuno""."
LUK.1.21	1	21	And the people waited for Zacharias, and marvelled that he tarried so long in the temple.	-0.05	neutral	Enquanto isso, o povo esperava por Zacarias, estranhando sua demora no santuário.
LUK.1.22	1	22	And when he came out, he could not speak unto them: and they perceived that he had seen a vision in the temple: for he beckoned unto them, and remained speechless.	0.0	neutral	Quando saiu, não conseguia falar nada; o povo percebeu então que ele tivera uma visão no santuário. Zacarias fazia sinais para eles, mas permanecia mudo.
LUK.1.23	1	23	And it came to pass, that, as soon as the days of his ministration were accomplished, he departed to his own house.	0.4	positive	Quando se completou seu período de serviço, ele voltou para casa.
LUK.1.24	1	24	And after those days his wife Elisabeth conceived, and hid herself five months, saying,	0.0	neutral	Depois disso, Isabel, sua mulher, engravidou e durante cinco meses não saiu de casa.
LUK.1.25	1	25	Thus hath the Lord dealt with me in the days wherein he looked on {me}, to take away my reproach among men.	0.0	neutral	"E ela dizia: ""Isto é obra do Senhor fez! Agora ele olhou para mim com favor, para desfazer a minha humilhação perante o povo. """
LUK.1.26	1	26	And in the sixth month the angel Gabriel was sent from God unto a city of Galilee, named Nazareth,	0.0	neutral	No sexto mês Deus enviou o anjo Gabriel a Nazaré, cidade da Galiléia,
LUK.1.27	1	27	To a virgin espoused to a man whose name was Joseph, of the house of David; and the virgin's name {was} Mary.	0.0	neutral	a uma virgem prometida em casamento a certo homem chamado José, descendente de Davi. O nome da virgem era Maria.
LUK.1.28	1	28	And the angel came in unto her, and said, Hail, {thou that art} highly favoured, the Lord {is} with thee: blessed {art} thou among women. {highly...: or, graciously accepted, or, of much grace}	0.1733	positive	"O anjo, aproximando-se dela, disse: ""Alegre-se, agraciada! O Senhor está com você! """
LUK.1.29	1	29	And when she saw {him}, she was troubled at his saying, and cast in her mind what manner of salutation this should be.	-0.5	negative	Maria ficou perturbada com essas palavras, pensando no que poderia significar esta saudação.
LUK.1.30	1	30	And the angel said unto her, Fear not, Mary: for thou hast found favour with God.	0.0	neutral	"Mas o anjo lhe disse: ""Não tenha medo, Maria; você foi agraciada por Deus!"
LUK.1.31	1	31	And, behold, thou shalt conceive in thy womb, and bring forth a son, and shalt call his name JESUS.	0.0	neutral	Você ficará grávida e dará à luz um filho, e lhe porá o nome de Jesus.
LUK.1.32	1	32	He shall be great, and shall be called the Son of the Highest: and the Lord God shall give unto him the throne of his father David:	0.8	positive	Ele será grande e será chamado Filho do Altíssimo. O Senhor Deus lhe dará o trono de seu pai Davi,
LUK.1.33	1	33	And he shall reign over the house of Jacob for ever; and of his kingdom there shall be no end.	0.0	neutral	"e ele reinará para sempre sobre o povo de Jacó; seu Reino jamais terá fim""."
LUK.1.34	1	34	Then said Mary unto the angel, How shall this be, seeing I know not a man?	0.0	neutral	"Perguntou Maria ao anjo: ""Como acontecerá isso, se sou virgem? """
LUK.1.35	1	35	And the angel answered and said unto her, The Holy Ghost shall come upon thee, and the power of the Highest shall overshadow thee: therefore also that holy thing which shall be born of thee shall be called the Son of God.	0.0	neutral	"O anjo respondeu: ""O Espírito Santo virá sobre você, e o poder do Altíssimo a cobrirá com a sua sombra. Assim, aquele que há de nascer será chamado santo, Filho de Deus."
LUK.1.36	1	36	And, behold, thy cousin Elisabeth, she hath also conceived a son in her old age: and this is the sixth month with her, who was called barren.	0.1	neutral	Também Isabel, sua parenta, terá um filho na velhice; aquela que diziam ser estéril já está em seu sexto mês de gestação.
LUK.1.37	1	37	For with God nothing shall be impossible.	-0.6667	negative	"Pois nada é impossível para Deus""."
LUK.1.38	1	38	And Mary said, Behold the handmaid of the Lord; be it unto me according to thy word. And the angel departed from her.	0.0	neutral	"Respondeu Maria: ""Sou serva do Senhor; que aconteça comigo conforme a tua palavra"". Então o anjo a deixou."
LUK.1.39	1	39	And Mary arose in those days, and went into the hill country with haste, into a city of Juda;	0.0	neutral	Naqueles dias, Maria preparou-se e foi depressa para a uma cidade da região montanhosa da Judéia,
LUK.1.40	1	40	And entered into the house of Zacharias, and saluted Elisabeth.	0.0	neutral	onde entrou na casa de Zacarias e saudou Isabel.
LUK.1.41	1	41	And it came to pass, that, when Elisabeth heard the salutation of Mary, the babe leaped in her womb; and Elisabeth was filled with the Holy Ghost:	0.4	positive	Quando Isabel ouviu a saudação de Maria, o bebê agitou-se em seu ventre, e Isabel ficou cheia do Espírito Santo.
LUK.1.42	1	42	And she spake out with a loud voice, and said, Blessed {art} thou among women, and blessed {is} the fruit of thy womb.	0.1	neutral	"Em alta voz exclamou: ""Bendita é você entre as mulheres, e bendito é o filho que você dará à luz!"
LUK.1.43	1	43	And whence {is} this to me, that the mother of my Lord should come to me?	0.0	neutral	Mas por que sou tão agraciada, a ponto de me visitar a mãe do meu Senhor?
LUK.1.44	1	44	For, lo, as soon as the voice of thy salutation sounded in mine ears, the babe leaped in my womb for joy.	0.8	positive	Logo que a sua saudação chegou aos meus ouvidos, o bebê que está em meu ventre agitou-se de alegria.
LUK.1.45	1	45	And blessed {is} she that believed: for there shall be a performance of those things which were told her from the Lord. {that...: or, which believed that there}	0.0	neutral	"Feliz é aquela que creu que se cumprirá aquilo que o Senhor lhe disse! """
LUK.1.46	1	46	And Mary said, My soul doth magnify the Lord,	0.0	neutral	"Então disse Maria: ""Minha alma engrandece ao Senhor"
LUK.1.47	1	47	And my spirit hath rejoiced in God my Saviour.	0.0	neutral	e o meu espírito se alegra em Deus, meu Salvador,
LUK.1.48	1	48	For he hath regarded the low estate of his handmaiden: for, behold, from henceforth all generations shall call me blessed.	0.0	neutral	pois atentou para a humildade da sua serva. De agora em diante, todas as gerações me chamarão bem-aventurada,
LUK.1.49	1	49	For he that is mighty hath done to me great things; and holy {is} his name.	0.6	positive	pois o Poderoso fez grandes coisas em meu favor; santo é o seu nome.
LUK.1.50	1	50	And his mercy {is} on them that fear him from generation to generation.	0.0	neutral	A sua misericórdia estende-se aos que o temem, de geração em geração.
LUK.1.51	1	51	He hath shewed strength with his arm; he hath scattered the proud in the imagination of their hearts.	0.8	positive	Ele realizou poderosos feitos com seu braço; dispersou os que são soberbos no mais íntimo do coração.
LUK.1.52	1	52	He hath put down the mighty from {their} seats, and exalted them of low degree.	0.0815	neutral	Derrubou governantes dos seus tronos, mas exaltou os humildes.
LUK.1.53	1	53	He hath filled the hungry with good things; and the rich he hath sent empty away.	0.3438	positive	Encheu de coisas boas os famintos, mas despediu de mãos vazias os ricos.
LUK.1.54	1	54	He hath holpen his servant Israel, in remembrance of {his} mercy;	0.0	neutral	Ajudou a seu servo Israel, lembrando-se da sua misericórdia
LUK.1.55	1	55	As he spake to our fathers, to Abraham, and to his seed for ever.	0.0	neutral	"para com Abraão e seus descendentes para sempre, como dissera aos nossos antepassados""."
LUK.1.56	1	56	And Mary abode with her about three months, and returned to her own house.	0.6	positive	Maria ficou com Isabel cerca de três meses e depois voltou para casa.
LUK.1.57	1	57	Now Elisabeth's full time came that she should be delivered; and she brought forth a son.	0.35	positive	Ao se completar o tempo de Isabel dar à luz, ela teve um filho.
