verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
EZK.24.9	24	9	Therefore thus saith the Lord GOD; Woe to the bloody city! I will even make the pile for fire great.	-0.1	neutral	""" 'Portanto assim diz o Soberano Senhor: "" 'Ai da cidade sanguinária! Eu também farei uma pilha de lenha, uma pilha bem alta."
EZK.24.10	24	10	Heap on wood, kindle the fire, consume the flesh, and spice it well, and let the bones be burned.	0.0	neutral	Por isso amontoem a lenha e acendam o fogo. Cozinhem bem a carne, misturando os temperos; e reduzam os ossos a cinzas.
EZK.24.11	24	11	Then set it empty upon the coals thereof, that the brass of it may be hot, and may burn, and {that} the filthiness of it may be molten in it, {that} the scum of it may be consumed.	-0.05	neutral	Ponham depois a panela vazia sobre as brasas para que se esquente até que o seu bronze fique incandescente, e as suas impurezas se derretam, e o seu resíduo seja queimado e desapareça.
EZK.24.12	24	12	She hath wearied {herself} with lies, and her great scum went not forth out of her: her scum {shall be} in the fire.	0.0667	neutral	Mas ela frustrou todos os esforços; nem o fogo pôde eliminar seu resíduo espesso!
EZK.24.13	24	13	In thy filthiness {is} lewdness: because I have purged thee, and thou wast not purged, thou shalt not be purged from thy filthiness any more, till I have caused my fury to rest upon thee.	0.5	positive	""" 'Ora, a sua impureza é a lascívia. Como eu desejei purificá-la mas você não quis ser purificada de sua impureza, você não voltará a estar limpa, enquanto não se abrandar a minha ira contra você."
EZK.24.14	24	14	I the LORD have spoken {it}: it shall come to pass, and I will do {it}; I will not go back, neither will I spare, neither will I repent; according to thy ways, and according to thy doings, shall they judge thee, saith the Lord GOD.	0.0	neutral	""" 'Eu, o Senhor, falei. Chegou a hora de eu agir. Não me conterei; não terei piedade, nem voltarei atrás. Você será julgada de acordo com o seu comportamento e com as suas ações, palavra do Soberano Senhor' ""."
EZK.24.15	24	15	Also the word of the LORD came unto me, saying,	0.0	neutral	Veio a mim esta palavra do Senhor:
EZK.24.16	24	16	Son of man, behold, I take away from thee the desire of thine eyes with a stroke: yet neither shalt thou mourn nor weep, neither shall thy tears run down. {run down: Heb. go}	-0.1556	negative	"""Filho do homem, com um único golpe estou para tirar de você o prazer dos seus olhos. Contudo não lamente nem chore nem derrame nenhuma lágrima."
EZK.24.17	24	17	Forbear to cry, make no mourning for the dead, bind the tire of thine head upon thee, and put on thy shoes upon thy feet, and cover not {thy} lips, and eat not the bread of men. {Forbear: Heb. Be silent} {lips: Heb. upper lip}	-0.0667	neutral	"Não permita que ninguém ouça o seu gemer; não pranteie pelos mortos. Mantenha apertado o seu turbante e as sandálias nos pés; não cubra o rosto nem coma a comida costumeira dos pranteadores""."
EZK.24.18	24	18	So I spake unto the people in the morning: and at even my wife died; and I did in the morning as I was commanded.	0.0	neutral	Por isso falei de manhã ao povo, e à tarde a minha mulher morreu. No dia seguinte fiz o que me havia sido ordenado.
EZK.24.19	24	19	And the people said unto me, Wilt thou not tell us what these {things are} to us, that thou doest {so}?	0.0	neutral	"Então o povo me perguntou: ""Você não vai nos dizer que relação essas coisas têm conosco? """
EZK.24.20	24	20	Then I answered them, The word of the LORD came unto me, saying,	0.0	neutral	"E eu lhes respondi: ""Esta palavra do Senhor veio a mim:"
