verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
NUM.1.1	1	1	And the LORD spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first {day} of the second month, in the second year after they were come out of the land of Egypt, saying,	0.0833	neutral	O Senhor falou a Moisés na Tenda do Encontro, no deserto do Sinai, no primeiro dia do segundo mês do segundo ano, depois que os israelitas saíram do Egito. Ele disse:
NUM.1.2	1	2	Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of {their} names, every male by their polls;	0.0	neutral	"""Façam um recenseamento de toda a comunidade de Israel, pelos seus clãs e famílias, alistando todos os homens, um a um, pelo nome."
NUM.1.3	1	3	From twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies.	0.3	positive	Você e Arão contarão todos os homens que possam servir no exército, de vinte anos para cima, organizados segundo as suas divisões.
NUM.1.4	1	4	And with you there shall be a man of every tribe; every one head of the house of his fathers.	0.0	neutral	Um homem de cada tribo, o chefe dos grupos de famílias, deverá ajudá-los.
NUM.1.5	1	5	And these {are} the names of the men that shall stand with you: of {the tribe of} Reuben; Elizur the son of Shedeur.	0.0	neutral	Estes são os nomes dos homens que os ajudarão: de Rúben, Elizur, filho de Sedeur;
NUM.1.6	1	6	Of Simeon; Shelumiel the son of Zurishaddai.	0.0	neutral	de Simeão, Selumiel, filho de Zurisadai;
NUM.1.7	1	7	Of Judah; Nahshon the son of Amminadab.	0.0	neutral	de Judá, Naassom, filho de Aminadabe;
NUM.1.8	1	8	Of Issachar; Nethaneel the son of Zuar.	0.0	neutral	de Issacar, Natanael, filho de Zuar;
NUM.1.9	1	9	Of Zebulun; Eliab the son of Helon.	0.0	neutral	de Zebulom, Eliabe, filho de Helom;
NUM.1.10	1	10	Of the children of Joseph: of Ephraim; Elishama the son of Ammihud: of Manasseh; Gamaliel the son of Pedahzur.	0.0	neutral	dos filhos de José: de Efraim, Elisama, filho de Amiúde; de Manassés, Gamaliel, filho de Pedazur;
NUM.1.11	1	11	Of Benjamin; Abidan the son of Gideoni.	0.0	neutral	de Benjamim, Abidã, filho de Gideoni;
NUM.1.12	1	12	Of Dan; Ahiezer the son of Ammishaddai.	0.0	neutral	de Dã, Aieser, filho de Amisadai;
